seqName,nScans,freqOffset,rfExFA,rfExTime,echo_time,repetition_time,fov,dfov,nPoints,angle,rotationAxis,acq_time,axesOrientation,axesEnable,rdGradTime,dephGradTime,dummy_pulses,shimming,sl_fraction,mode,spoiler_order,unlock_orientation
GRE3DInfo,Number of scans,Larmor frequency offset (kHz),Excitation flip angle (º),RF excitation time (us),Echo time (ms),Repetition time (ms),"FOV[x,y,z] (cm)","dFOV[x,y,z] (mm)","nPoints (rd, ph, sl)",Angle (º),Rotation axis,Acquisition time (ms),"Axes[rd,ph,sl]",Axes enable,Rd gradient time (ms),Rd dephasing time (ms),Dummy pulses,Shimming (a.u.),Partial fourier fraction,Sequence mode,Gradient spoiler order,Unlock image orientation
GRE3D,1,0.0,90,50.0,4.0,60.0,"[80.0, 80.0, 100.0]","[0.0, 0.0, 0.0]","[100, 100, 10]",0.0,"[0, 0, 1]",3.0,"[0, 1, 2]","[1, 1, 1]",3.0,0.5,1,"[-0.0, -0.0, -0.0]",1.0,0,3,0
